target_variable;parents;target_values;X_1_t1(parent_1);X_2_t1(parent_2);X_4_t1(parent_3);X_5_t1(parent_4);X_3_t1=0;X_3_t1=1;X_3_t1=2;X_3_t1=3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;2;3;2;3;0.05;0.10;0.42;0.43
# X₁=2→X₂=3→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;2;3;3;0;0.07;0.30;0.49;0.14
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;2;3;3;1;0.05;0.31;0.51;0.13
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;2;3;3;2;0.05;0.08;0.45;0.42
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;2;3;3;3;0.05;0.06;0.48;0.41
# X₁=3→X₂=0→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;0;0;0.72;0.20;0.07;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;0;1;0.69;0.22;0.08;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;0;2;0.49;0.34;0.15;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;0;3;0.46;0.35;0.16;0.03
# X₁=3→X₂=0→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;1;0;0.68;0.22;0.08;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;1;1;0.65;0.24;0.10;0.01
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;1;2;0.45;0.36;0.16;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;1;3;0.42;0.37;0.18;0.03
# X₁=3→X₂=0→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;2;0;0.44;0.36;0.17;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;2;1;0.41;0.37;0.19;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;2;2;0.22;0.43;0.26;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;2;3;0.19;0.44;0.28;0.09
# X₁=3→X₂=0→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;3;0;0.20;0.44;0.27;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;3;1;0.17;0.45;0.29;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;3;2;0.09;0.26;0.41;0.24
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;0;3;3;0.07;0.27;0.43;0.23
# X₁=3→X₂=1→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;0;0;0.66;0.23;0.09;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;0;1;0.63;0.24;0.11;0.02
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;0;2;0.25;0.42;0.25;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;0;3;0.22;0.43;0.26;0.09
# X₁=3→X₂=1→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;1;0;0.24;0.42;0.26;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;1;1;0.21;0.43;0.28;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;1;2;0.07;0.28;0.45;0.20
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;1;3;0.05;0.29;0.47;0.19
# X₁=3→X₂=1→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;2;0;0.12;0.47;0.32;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;2;1;0.09;0.48;0.34;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;2;2;0.05;0.14;0.38;0.43
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;2;3;0.05;0.11;0.41;0.43
# X₁=3→X₂=1→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;3;0;0.09;0.29;0.47;0.15
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;3;1;0.07;0.30;0.49;0.14
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;3;2;0.05;0.10;0.42;0.43
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;1;3;3;0.05;0.08;0.45;0.42
# X₁=3→X₂=2→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;0;0;0.61;0.25;0.11;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;0;1;0.58;0.26;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;0;2;0.26;0.41;0.25;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;0;3;0.23;0.42;0.27;0.08
# X₁=3→X₂=2→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;1;0;0.23;0.42;0.27;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;1;1;0.20;0.43;0.29;0.08
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;1;2;0.06;0.28;0.46;0.20
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;1;3;0.05;0.29;0.48;0.18
# X₁=3→X₂=2→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;2;0;0.11;0.47;0.33;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;2;1;0.08;0.48;0.35;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;2;2;0.05;0.13;0.39;0.43
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;2;3;0.05;0.10;0.42;0.43
# X₁=3→X₂=2→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;3;0;0.07;0.30;0.49;0.14
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;3;1;0.05;0.31;0.51;0.13
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;3;2;0.05;0.08;0.45;0.42
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;2;3;3;0.05;0.06;0.48;0.41
# X₁=3→X₂=3→X₄=0→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;0;0;0.58;0.26;0.13;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;0;1;0.55;0.27;0.15;0.03
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;0;2;0.25;0.42;0.26;0.07
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;0;3;0.22;0.43;0.28;0.07
# X₁=3→X₂=3→X₄=1→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;1;0;0.22;0.43;0.28;0.07
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;1;1;0.19;0.44;0.30;0.07
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;1;2;0.05;0.29;0.49;0.17
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;1;3;0.05;0.30;0.51;0.14
# X₁=3→X₂=3→X₄=2→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;2;0;0.08;0.48;0.35;0.09
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;2;1;0.05;0.13;0.39;0.43
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;2;2;0.05;0.10;0.42;0.43
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;2;3;0.05;0.07;0.45;0.43
# X₁=3→X₂=3→X₄=3→X₅=0~3
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;3;0;0.07;0.30;0.49;0.14
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;3;1;0.05;0.31;0.51;0.13
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;3;2;0.05;0.08;0.45;0.42
X_3_t1;X_1_t1,X_2_t1,X_4_t1,X_5_t1;0,1,2,3;3;3;3;3;0.05;0.06;0.48;0.41
